,0
10,"As Mr Wick nears the end of his journey, we are given a delight of a story well structured across its constant world building. It gives a never-ending stream of new structural and actionable aspects that feel natural as it progresses, from the action, to plot points, and personal development. An intertwining of interests rooted in common found circumstances, history, connection, as well as coincidence and luck. As he came back into this life a free man, he wills to fight to leave just as he came no matter the cost. As the nature of it expands with new and unsurprising aspects, this feature more than delivers and entertains."
11,"'Brilliant' word will be an understatement for this film .This is Chad Stahelski's finest piece of work . John wick 4 is visually stunning and at the same time is engaging .The running length is almost 3 hour but feels like 2 hr . The editing is crisp and on point . The action choreography and Set pieces are phenomenal . John Wick 4 is arguably the best action movie of this decade . The stellar star cast comprised Keanu Reeves , Doni Yen , Ian McShane , Hiroyunki Sanada,Bill Skarsgard ,Scott Adkins ,Laurence Fishburne and Late Lance Reddick etc are apt in their respective role .Kudos to the director and his team for gifting us such an amazing cinematic experience ."
12,"John Wick uncovers a path to defeating The High Table, and earning his battered body, a much deserved freedom.But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe, and forces that turn old friends into foes......First of all, any film that features Donnie Yen and Scott Adkins is a must for any action film aficionado. But to have them in a John Wick film isn't just a dream come true, it's a work of sheer genius. I've had my expectations high for several films this year, such as Pants Man, Cocaine Bore, and Scream VI, which have all let me down.So I tried to lower my expectations for this, but I couldn't. Because this franchise has just been getter bigger and better with each instalment. And does it meet expectations?Too bloody right it does, it's a masterpiece in set pieces and going above and beyond in pleasing the fans.There are five huge set pieces that are wonderfully staged, and they are brutal and unflinching, and usurp anything from the previous three movies.The first is at Shimazus Continental, and although it goes on for a while, it's breathtaking, reminiscent of the shootout at the end of Parrabellum, but with Yen making good use of an everyday household item, and the icing on the cake for this sequence, Wick using nunchucks. That's all you need to know. Wick using nunchucks.The second features again, Yen, but now we have Scott Adkins thrown in. And for good measure, he's wearing a fat suit. Again, beautifully staged, with Wick suffering badly this time at the hands of Adkins, with a beautiful diegetic piece from Le Castlevania, keeping the tradition of the franchise. If you though a pencil was a good weapon, wait until you see what is used here.Thirdly, and arguably the best, we have a shoot out around the Arc De Triumphe. A ballet of cars and bullets that had me on the edge of my seat. It's so seamless and expertly made, I doubt you'll find a better cinematic action scene this decade. It's that beautiful.Fourthly, we have a wonderful over head long take with Wick taking out bad guys from room to room, using the most unique gun of the series. It's literally a blast.And the most bone crunching and funniest sequence is on the steps leading to the church. It puts The Exorcist to shame.All this clocking in at nearly three hours, and I didn't once find the film bloated or lagging. As for Reeves, he's a movie star. Some of his acting is pretty questionable in the film, but the man has screen presence, and by his performance, he's dedicated to the cause of Wick.What let the side down a little was Skarssgards pantomime portrayal of the villain. He's far too camp to be in the least but threatening, and the 'help' Wick received from the tracker was a little too convenient at times.But minor quibble aside, this is a masterpiece of action, it's balls to the wall from the moment you see the Thunder Road PC logo, right until the fade of the last scene.This is everything you've expected and more. If you are a fan of the action genre, see this, you've deserved it.Look out for a Wilhelm scream, and a stinger.'Chefs Kiss'"
13,"""john wick chapter 4"" whole new level of action set piecesi wouldn't say this movie is a masterpiece, but the action sequences make this one a highly worth watch in theaters. What else does anyone expect from a john wick movie. The last one hour of this movie is just like blazing fire. Keanu reeves, i dont think i can see him in any other character unless he cuts his hair or something. He just shines in the action sequences and embodies this character completely. All the extras and other actors give an amazing performance. Action sequences, top notch. Cinematography, top notch. Music, top notch."
14,Just got home from the theaters and man oh man was this one of the best movies I've seen in a long time. This is legitimately a MASTERPIECE. I've seen a lot of films and I think this is the best action film I've seen. Definitely the best action film saga. I had to wait in the theater for a long time because I was just so blown away by how well made this film was.The lighting has evolved with each movie and it was absolutely stunning. And that goes along with the cinematography. Just absolutely beautiful shots. And of course the choreography was incredibly well orchestrated. AND THE PEOPLE WHO DID THE STUNTS. There seriously needs to be an Oscar for choreography and stunt work.This one is for Lance Reddick. We all love him and will miss him dearly. Bravo.
15,"And we are just luckiest people to be alive at such times. Not just best John wick movie or the one of the best action movie but a Truly Beautiful Movie (yes hundreds of people does die brutally here) but the way every scene especially the fight choregraphy is shot, its nothing short of a masterpiece. From the great actors, to the epic storyline, the comedic scenes (yes there would be many) to the extraordinary breath taking scenes, its all just perfect. The 2nd best movie i ever saw in theatres (after the endgame ofcourse). Nonethless, its a movie worth missing everything for, just go out there watch it in theatres especially in 4DX. Or you might just regret it for the rest of your lives!"
16,"Parabellum (part 3) was my favorite and as is the case in many sequels, hard to keep topping your last go- not in the case of the John Wick team. They keep figuring out ways to keep the story interesting, delivering on the action set pieces and adding to the lore in a very effective and stylish way. John Wick 4 was an absolute pleasure to watch. It was full of entertainment. Despite being almost 3 hours long, it does not have boring sections. The non-action scenes have interesting characters, drama and incredible production design. John Wick continues to raise its own bar. As in the previous entries, each action set piece is distinguished and powerful. This is one of those movies that must be watched on the big screen."
17,"So i watched the movie in IMAX. The beginning blew me away already, punch after punch my head felt like it wanted to explode in the first minute of the film, whole Theater vibrated and set the mood for the rest of the movie. The action and fight scenes are incredible. My jaw dropped almost every five minutes into the action, creative teamwork and deaths. Good acting, and after all this seriousness, there are some funny moments as well that got a chuckle out of me. Incredible locations and mood switches, intense moments combined with the IMAX system was just so dope. Of course there were some unrealistic moments where a normal human would have been dead already, but it is a movie, so they got to keep Mr. Wick alive somehow.Would recommend!"
18,"I can think of no other series of movies that consistently improves upon itself than the John Wick series. This fourth installment improves even upon the fantastic third movie. The action sequences are unparalleled and the martial arts sequences are, as always, phenomenal. I agree with my fellow reviewers that this is definitely one of the greatest action movies ever made - as were they all. It is clear that the Director and Production Team really put a lot of effort into pushing the boundaries of action, and the location of Paris was used to maximum effect to produce some stunning action sequences. Make the effort to view this movie at the cinema, as you will get the full cinematic experience that this film needs to show all of the work put into it."
19,So full of ideas I am sure I need to watch it a lot more. Yeah it was great on the big screen. Like being there. Like you are a drone looking in on the action. Yeah some lemon haze half way in was a good choice for me. Better than a video game! Hard to believe I did not know so many of the spoilers since I followed the online info pretty closely. Over the last few pandemic years. Keanu is the quintessential action movie star. John Wick IS the wrathful deity. I have heard it will be available for streaming in May. I'll be running it all day.Not for kids. Do NOT let your ex husband take little kids cuz he wants to see it. The good news is that it has intergenerational appeal as long as you are over 14 .
20,"This has to the best action movie I have ever seen, I have to say I'm shocked to see the 4th movie in a cinematic universe be the best yet. It's non stop action from start to finish. Keanu is one of the greatest action stars to ever live. I really hope they make more. The fight choreography is second to none, the gun play better than ever, and the casting is stupendous. The plot is top notch, the Wickverse is better than the Marvel Universe and any film universe. He deserves all the plaudits for what he has done with this character. You need to see this movie multiple times. Best film I have seen at the cinema in a very long time.."
21,"Keanu Reeves is freaking Awesome this is by far his best performance yet. Director Chad Stahelski gives us the Best Action movie in the history of Cinema. The action is crisp well directed and it is beautifully choreographed. The villains are the best in the franchise Billy Sarsgard and Donnie Yen are amazing. The rest of the cast is awesome as well. The directing, writing , plot ,ending and the begging is perfect. It never feels too long or short , the runtime is well handled. The side characters like Winston,Killa and Charon once again steal the big screen every time they appear in the movie."
22,"If stunning fight scenes are your thing you'll be in awe, as the battles start quite soon and lead to more, hand to hand, with guns and swords, not much dialogue, no time for words, as the blood is spilt, the casualties do soar. The geography begins in New York City, not too later in Osaka things get gritty, Berlin really bares its teeth, as several more become deceased, and in Paris things get wild, and somewhat tricky.Nothing you haven't seen before but perhaps not on this scale, as The High Table appoint a Marquis to remove John Wick and all he represents, employing traditional tactics and approaches not unbecoming of a film of this nature."
23,"It's awesome to see how John Wick franchise has progressed, four movies in and it still has that same aesthetic, top to bottom, this film was just amazing. The editing was spot on, the scenery and focal shots are amazing, All of the actors were outstanding, the effects were some of the greatest I have ever seen, and the variety in the fight sequences was refreshing and new. The director and writer really nailed the action and entertainment in this movie. Honestly I was little worried that they couldn't keep up with the franchise going at such a high level, I'm glad it was not the case with this one."
24,"If you enjoyed JW 1-3, you can't miss this one. It's the ultimate visual feast of blood, bullets and magic, yes magic, read on.It started with JW getting out of the situation alive (again) after falling off the top of hotel continental and continue to rid the world of fellow hitmen (yeah why were there no hitwemen, just wondering).Except that he gets a partner this time, no one else but Ip Man himself, or maybe Zatoichi, yeah more like Zatoichi with eyes can't see, and a cane sword (sword cane)? And aptly named 'Cane'. Except that Cane kills him at the end, anyway that's not important.What's important is, the action! The action is over the top (not that the first 3 wasn't over the top, but this time it's over the topmost of the previous tops), so normally JW uses the ground as his weapon, now he uses cars as well, and stairs.Damn I would hate these stairs, especially when you just finished climbing up 20 flights of stairs and got kicked back to the very begining of it. But they do act as effective weapons when you toss the body of your enemies on top the stairs.And the magic!First of all, the fantastic animal, this time, in a dog form, who listens to her emotional support companion (the tracer)'s commands, and acts accordingly. Honestly I think she needs anger management that's why she has an emotional support human for her.Then there's the weapon that shoots fireballs and light up anything they touch - just like in the games - yeah also top down view, reminds me of the orginal psx grand theft auto, but way more fancier. Heck even the ragdoll movements of the bodies were just so ... identical. I totally enjoyed that.That's 2 and half hours total enjoyment without a break - don't drink too much water before or during the movie and you can thank me later.Now, why only 8 points?Well, also the action - they must have changed the action director cos this time the enemies don't swarm JW anymore, they wait, like civialised citizens, they take turns to hit him, and only when the first one is down the second one will join, there was no rush at all. So yeah I have to take 2 stars off for that reason.Overall, very enjoyable and certainly will get the bluray when it comes out (yes I have the first 3 on 4k bluray).Don't let your kids watch it, they might get the wrong idea like wow I can be that strong and take on the world by myself.No son, you can't, you are more likely to get a bullet through your brain, don't try that."
25,"This is by far the best action movie to come out the past 15 years! Yup, I said it and stand by it! Can you find a movie character more exciting than John Wick?? Jason Bourne is a close second but the visuals in this franchise make this series fun to watch.Fast forward to this installment where the stakes are higher for John Wick. There are a lot of twists and turns in this one, along with some of the best fight choreography in movies. The longer running time didn't really seem like much since the pacing of this film is fast and exciting.One note: Lance Reddick's final onscreen performance was sentimental to watch. It's hard not to think about what happen recently with his passing while promoting this movie. Other supporting characters make it woke up until the very end but Reddick will be missed."
26,"Yes, you can absolutely feel the length, there is no way you wouldn't feel the length, besides the obvious, nit picky here and there, John Wick: Chapter 4 fills with the best character in the franchise so far, Bill Skarsgård was a menacing great villain, another best one in the franchise, Donnie Yen was a badass in this movie, and Keanu Reeves as the great John Wick, killing it again in the role, and the rest of the cast were all great, John Wick: Chapter 4 was the grandest of them all, in terms of a story and action, clocking at 2 hours and 49 minutes, Wick's at his god mode giving some of the most brutal, exciting, and epic action scene in movie history, as a whole, John Wick: Chapter 4 was really something else, something that you never seen before, in it's length, the movie offers you a whole complete story fills with an exciting, intense, brutal, and epic action, great story, and great characters, it's a hell of a great wild memorable one time movie watch experience, second best in the franchise below Parabellum and above the rest."
27,"This chapter of JW was really amazing; action-packed, compelling, funny and star-filled. I was definitely enthralled and it never left you anywhere but on the edge of your seat. I found it to be engaging, funny, and thrilling while still feeling heartwrenching and shocking in so many different and unexpected ways. It was a movie that our entire family enjoyed and I feel Keanu hit the ball out of the park, per usual. This franchise is summarized in a bittersweet way but the ride is worth the ending nevertheless. Five huge stars for a wonderful ensemble cast! Loved this movie and really think most fans will too."
28,"John Wick 4 is an incredible addition to the action franchise. The film takes the series to new heights with even more intense fight scenes and a thrilling storyline that keeps you on the edge of your seat. Keanu Reeves delivers another outstanding performance as the iconic hitman, and the supporting cast brings their A-game as well. Without giving away any spoilers, I can confidently say that John Wick 4 exceeds all expectations and is a must-see for fans of the series and action movie lovers alikeit's the best John wick and all of the characters that are added do an amazing job beat villains."
29,"SCORE: 7.2/10The biggest roller coaster of roller coasters I've ever been on while watching a movie in theaters. It was good, then it was bad, then it was great, then boring, then absolutely amazing, then disappointing. If we are speaking solely about the Action, this was the greatest Action movie of all time. Every fight was legendary and the new tricks and weapons they used were unlike anything I've ever seen before. The exploding shotgun, the ultra-realistic fighting choreography, and the entire world getting bossed up by Mr. Wick. If the movie were just all of the fight scenes mashed together, this may have been a perfect movie. However, unfortunately, as movies tend to go, there also happens to be a story element to them. And for John Wick 4, it was atrocious and easily the worst story in the franchise.Anytime the new villain was on screen it was a complete snooze fest, apart from the end where he gets a bullet in the head. Some of those scenes went on way too long and made some of the Action scenes less impactful because of what we had to go through to get there. I was excited when I saw the 2hr and 49 minute runtime, as I loved the first 3 John Wicks, but this movie had no business being that long. So much of it should've been cut out. There was way too much plot armor given to the head of security for the High Table and the guy he meets the card table, which made it felt forced at times. I have no problem with all the plot armor given to John Wick, but I was not a fan of those other characters being portrayed in that way.Now for the 2 most problematic parts of the movie. For one, can they make up their mind when it comes to the relationship between John and Caine and the Tracker? They're fighting against each other and then working together and then fighting against each other and then working together and then half fighting against each other and half working together. It felt sloppy and inconsistent in a way that was not productive. Lastly, HE DIES? You have got to be kidding me. It's not just the fact that he dies, but it's the way it happens. Granted, there is probably a 99% chance he's still alive, but absolutely nothing in his final conversation with Caine and Winston made me thinking he was dying. And now he just collapses over on the stairs and it cuts to his tombstone? For everything he was able to endure throughout the 4 films, it was a pretty pathetic way to end the movie and it felt like a slap in the face. John Wick deserved way better. We also still got virtually nothing about his wife apart from a single flashback, an element that should've been explored by now.This movie review is long because I'm very passionate about John Wick and I love his character and the movies that came before this one. To end on a positive note, there were still a bunch of good things that happened in this film that were just unfortunately watered down by the length of the film and the rest of the story. The humor was phenomenal, both Caine and the Tracker's character were great additions, and there were a lot of high impact scenes, such as John saving the Tracker's dog. Lastly, RIP to the legend Lance Reddick. I know he didn't have a major part in this movie, but he has given a memorable performance in each of the prior movies and was so talented. Taken from us way too soon."
30,"I saw so many action movies even all the previous John Wick movies and i need to say that this movie put the standard pretty high. The sequences, the shots without a cut, the long sequences of fights was spectacular and really brutal. I enjoyed also the music during the fights and really put a nice rythm to the fights and give dynamics and nervosity. Also the set design from Osaka to Paris was gorgeous and had so many small details that i couldnt keep my eyes off the screen. We had also the story who introduced the new vilain who supposed to be French and was pretty convincing. We have also some interesting discoveries all along during the movie (the blind man who have his daughter in hostage, the way to put an end to all this and to recover the status of the guy in charge of the continental who get destroyed in the movie. The fights feel great even if we know that match a certain choregraphy and dont reflect a real fight but it was well made and have some interesting shots (when at the end they all tried to kill Wick in the building and the camera shot from above all the scene and transform it like a mini map). Some scenes really look gorgeous and awesome and like i said i saw so many action movies but this one was really different; even in the work of the lights and how they put the lights to create a certain tone. It was pretty effective and sometimes some scenes was pretty funny (with the dog). The end is pretty sad and thought that John Wick will made it trough all that but he died. The Caine Character have an interesting style: the way he fights, but i think it was not necessary to make him blind because some scenes lack of logic sometimes and questions us to the believable situations that dont feel believable sometimes(the fights, the fact that nobody had the idea to shot him in the head quickly)but it was ok and give a new opponent/friend to John Wick in this episode. Give it a try. The actions scenes (because its mostly an action movie)was pretty awesome (Arc de Triomphe, Osaka, sacré coeur). And make it memorable and its one of my favorite John Wick and maybe favorite action movies for now? But it was awesome really. And even some dialogues was well written and some meaningful moments. The story was good for an avtion movie but its certainly not the most interesting part in the movie for sure even if it have some interesting moments and revelations and surprises( i didnt expect the death of the concierge so quickly in the movie to be honest). A nice action movie. No doubt about it."
31,"Listen, this movie was far from as good as the others and had very little realism to it compared to the others. Numerous times John falls from like 4 stories up and gets up and walks it off. He also gets hit by cars numerous times and simply just walks it off. He also falls down 222 steps and gets up and walks it off. Where is the realism here?Also, the acting was incredibly bad. Like really really bad. Laurence Fishborne going over the top and Keanu not saying much, but when he does he makes himself sound like he's having a stroke.Adding the black assassin dude simply as the diversity hire was a weird choice. Like seriously, he was the only black dude. The dude was a complete wild card that you had no idea whose side he was on. He was trying to kill John, but also trying to save him? Also, he had a dog to help him. Didn't Halle Berry have the exact same gimmick in the last movie that did the same trick of going for the nuts?And where was John's motivation for all of this? Why was he in Japan? Why did he kill the High Table person? Why wasn't this Marques person introduced sooner? Why was a blind assassin 20x better than any of the other assassins? And lastly, why did John go through allllll of that crap just to die at the end? To protect Winston? The dude who shot him off roof?Overall, there was only a couple of good parts to the movie. Nothing that the other 3 movies hadn't done before."
32,"My God! I just got back from a movie theatre and man! Oh man! John Wick : Chapter 4 is the best sequel of the series and one of the greatest action films ever made! You've got so many amazing stars, awesome fight scenes and stunts with a straight up simple plot that is kill or be killed in its absolutely biggest way in this spectacular sequel... Keanu Reeves is always the show stealer as its titular character with his badass performance and stunts... Ian McShane, Laurence Fishburne and the late, great Lance Reddick reprise their roles and as usual they were great... Also I've got to say the new cast of the John Wick franchise, Donnie Yen, Bill Skarsgård, Scott Adkins, Clancy Brown, Hiroyuki Sanada and the rest of them were all awesome as well... So far I feel this is my number 1 movie of the year... If you're already a John Wick fan, you're gonna be mindblown in your seats and if you're not, trust me, you're gonna be a fan soon..."
